report_id,signal_category,selection_folder,method_card,method_family,code_file,relative_code_file,include_in_final_eval,do_not_evaluate
D1,distance_only,D1_12_D1_nn_constructive_only,TSP-D1,multi-start nearest-neighbour construction without cleanup,D1_heuristic.py,distance_only/D1_12_D1_nn_constructive_only/D1_heuristic.py,True,False
D1a,distance_only,D1a_02_normal_raw_nn2opt_best_101102_iter003,TSP-D1a,nearest-neighbour construction with 2-opt local improvement,D1a_heuristic.py,distance_only/D1a_02_normal_raw_nn2opt_best_101102_iter003/D1a_heuristic.py,True,False
D2,distance_only,D2_11_family_focus_convex_constructive_095803_iter021,TSP-D2,convex-hull outside-in insertion,D2_heuristic.py,distance_only/D2_11_family_focus_convex_constructive_095803_iter021/D2_heuristic.py,True,False
D2a,distance_only,D2a_13_D2a_convex_hull_outside_in_with_cleanup,TSP-D2a,convex-hull outside-in insertion with bounded cleanup,D2a_heuristic.py,distance_only/D2a_13_D2a_convex_hull_outside_in_with_cleanup/D2a_heuristic.py,True,False
D3,distance_only,D3_03_family_focus_grid_best_100159_iter072,TSP-D3,grid/sector decomposition with endpoint bridging,D3_heuristic.py,distance_only/D3_03_family_focus_grid_best_100159_iter072/D3_heuristic.py,True,False
D4,distance_only,D4_05_family_focus_voronoi_best_100159_iter037,TSP-D4,Voronoi-style regional construction,D4_heuristic.py,distance_only/D4_05_family_focus_voronoi_best_100159_iter037/D4_heuristic.py,True,False
D5,distance_only,D5_04_family_focus_convex_faithful_095803_iter031,TSP-D5,convex-hull insertion with heavier repair,D5_heuristic.py,distance_only/D5_04_family_focus_convex_faithful_095803_iter031/D5_heuristic.py,True,False
D6,distance_only,D6_10_family_focus_fast_convex_095803_iter026,TSP-D6,fast convex-hull insertion variant,D6_heuristic.py,distance_only/D6_10_family_focus_fast_convex_095803_iter026/D6_heuristic.py,True,False
D7,distance_only,D7_08_expo_distance_only_geostabilizer_399e,TSP-D7,distance-stabilized nearest-neighbour constructor,D7_heuristic.py,distance_only/D7_08_expo_distance_only_geostabilizer_399e/D7_heuristic.py,True,False
D8,distance_only,D8_18_D8_randomized_start_nearest_endpoint,TSP-D8,randomized-start nearest-endpoint path constructor,D8_heuristic.py,distance_only/D8_18_D8_randomized_start_nearest_endpoint/D8_heuristic.py,True,False
D9,distance_only,D9_09_family_focus_mst_diagnostic_100159_iter007,TSP-D9,pseudo-MST nearest-neighbour scaffold with weak cleanup,D9_heuristic.py,distance_only/D9_09_family_focus_mst_diagnostic_100159_iter007/D9_heuristic.py,True,False
D10,distance_only,D10_14_D10_cluster_decomposition_local_tours,TSP-D10,cluster-based decomposition with local tours and bridge selection,D10_heuristic.py,distance_only/D10_14_D10_cluster_decomposition_local_tours/D10_heuristic.py,False,False
D11,distance_only,D11_15_D11_spectral_projection_partitioning,TSP-D11,spectral-projection partitioning with local paths and randomized cleanup,D11_heuristic.py,distance_only/D11_15_D11_spectral_projection_partitioning/D11_heuristic.py,False,False
D12,distance_only,D12_16_D12_sparse_geometric_graph_attempt_failed,TSP-D12,sparse geometric graph approximation attempt,D12_heuristic.py,distance_only/D12_16_D12_sparse_geometric_graph_attempt_failed/D12_heuristic.py,False,True
D13,distance_only,D13_07_family_focus_region_endpoint_fast_100159_iter177,TSP-D13,region growth with endpoint bridging,D13_heuristic.py,distance_only/D13_07_family_focus_region_endpoint_fast_100159_iter177/D13_heuristic.py,False,False
D14,distance_only,D14_17_D14_polar_angle_sweep_constructive,TSP-D14,polar-angle sweep construction,D14_heuristic.py,distance_only/D14_17_D14_polar_angle_sweep_constructive/D14_heuristic.py,False,False
C1,candidate_list,C1_00_candidate_nnls_105250_iter001,TSP-C1,candidate-list nearest-neighbour constructor,C1_heuristic.py,candidate_list/C1_00_candidate_nnls_105250_iter001/C1_heuristic.py,True,False
C1a,candidate_list,C1a_01_normal_candidate_only_best_105250_iter019,TSP-C1a,candidate-list construction with adaptive cleanup,C1a_heuristic.py,candidate_list/C1a_01_normal_candidate_only_best_105250_iter019/C1a_heuristic.py,True,False
P1,edge_prior,P1_01_hist_prior_only_best_201853_iter021,TSP-P1,quality-oriented prior-guided policy,P1_heuristic.py,edge_prior/P1_01_hist_prior_only_best_201853_iter021/P1_heuristic.py,True,False
P2,edge_prior,P2_02_expo_prior_dominant_all7_2339,TSP-P2,prior-dominant edge-scoring policy,P2_heuristic.py,edge_prior/P2_02_expo_prior_dominant_all7_2339/P2_heuristic.py,True,False
P3,edge_prior,P3_03_expo_lookahead_prior_all7_27a,TSP-P3,fast prior look-ahead policy,P3_heuristic.py,edge_prior/P3_03_expo_lookahead_prior_all7_27a/P3_heuristic.py,True,False
