attempt,iteration,objective_mode,center_constraint,name,family,code_hash,valid,full_valid,valid_instances,total_instances,mean_gap_percent,selection_score,mean_runtime_s,parent_attempt,selection_strategy,prompt_mode,error,code_path,raw_response_path,prompt_path,family_desc,feedback_by_instance,search_cost_mean,search_gap_ref_mean_pct,partial_valid_cases,partial_total_cases,partial_failed_cases,family_focus_active,focus_family_id,focus_family_name,focus_family_step,focus_family_index,focus_family_total,family_focus_compliant,family_focus_compliance_level,family_focus_mismatch_reason,algo_name,family_sig,search_gap_ref_mean,search_runtime_mean_s
1,1,tsp,permutation_tour,Voronoi Regions with Local Ordering and Bridge Selection,nearest_neighbor,55415ba76fc102db,False,False,0,3,,,,,1+1,initial,list index out of range,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_001_55415ba76fc102db.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_001.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_001.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 0/1, errors=list index out of range
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^
pr1002: valid 0/1, errors=list index out of range
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^
d1291: valid 0/1, errors=list index out of range
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^",,,0,3,3,True,voronoi_regions,Voronoi / region decomposition,1,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with Local Ordering and Bridge Selection,nearest_neighbor,,
2,2,tsp,permutation_tour,Voronoi Regions with Region Bridge Selection,nearest_neighbor,9cc2a9fad195e701,False,False,0,3,,,,1.0,1+1,redesign_invalid_parent,tour length 2 != n=1000,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_002_9cc2a9fad195e701.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_002.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_002.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 0/1, errors=tour length 2 != n=1000
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
pr1002: valid 0/1, errors=tour length 6 != n=1002
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
d1291: valid 0/1, errors=tour length 7 != n=1291
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour",,,0,3,3,True,voronoi_regions,Voronoi / region decomposition,2,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with Region Bridge Selection,nearest_neighbor,,
3,3,tsp,permutation_tour,Voronoi Regions with K-Means Clustering and Local Path Construction,nearest_neighbor,e4a9916c9fbdd20b,False,False,0,3,,,,2.0,1+1,redesign_invalid_parent,tour length 120 != n=1000,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_003_e4a9916c9fbdd20b.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_003.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_003.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 0/1, errors=tour length 120 != n=1000
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
pr1002: valid 0/1, errors=tour length 77 != n=1002
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
d1291: valid 0/1, errors=tour length 122 != n=1291
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour",,,0,3,3,True,voronoi_regions,Voronoi / region decomposition,3,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with K-Means Clustering and Local Path Construction,nearest_neighbor,,
4,4,tsp,permutation_tour,Voronoi Regions with Randomized Local Path Construction and Deliberate Bridge Selection,nearest_neighbor,81bc613ff3665cc6,False,False,0,3,,,,3.0,1+1,redesign_invalid_parent,tour length 40 != n=1000,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_004_81bc613ff3665cc6.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_004.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_004.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 0/1, errors=tour length 40 != n=1000
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
pr1002: valid 0/1, errors=tour length 86 != n=1002
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
d1291: valid 0/1, errors=tour length 72 != n=1291
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour",,,0,3,3,True,voronoi_regions,Voronoi / region decomposition,4,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with Randomized Local Path Construction and Deliberate Bridge Selection,nearest_neighbor,,
5,5,tsp,permutation_tour,Voronoi Regions with Balanced Local Path Construction and Efficient Bridge Selection,nearest_neighbor,fdfced82014bfab2,False,False,0,3,,,,4.0,1+1,redesign_invalid_parent,tour length 48 != n=1000,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_005_fdfced82014bfab2.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_005.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_005.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 0/1, errors=tour length 48 != n=1000
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
pr1002: valid 0/1, errors=tour length 158 != n=1002
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour
d1291: valid 0/1, errors=tour length 143 != n=1291
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 133, in evaluate_code_on_problem
    validate_tour(tour, problem.n)
  File ""/content/llm-tsp-heuristics/src/llm_tsp/distance.py"", line 50, in validate_tour",,,0,3,3,True,voronoi_regions,Voronoi / region decomposition,5,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with Balanced Local Path Construction and Efficient Bridge Selection,nearest_neighbor,,
6,6,tsp,permutation_tour,Voronoi Regions with Efficient Local Path Construction and Bridge Selection,nearest_neighbor,338bfc79b326dcc7,True,True,3,3,67.88601633018227,67.88601633018227,0.036462863286336265,5.0,1+1,redesign_invalid_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_006_338bfc79b326dcc7.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_006.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_006.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=55.454%, cost=2.90073e+07, runtime=0.036s, NA
pr1002: valid 1/1, gap_vs_opt=65.483%, cost=428675, runtime=0.031s, NA
d1291: valid 1/1, gap_vs_opt=82.721%, cost=92824, runtime=0.042s, NA",9842935.333333334,67.88601633018227,3,3,0,True,voronoi_regions,Voronoi / region decomposition,6,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with Efficient Local Path Construction and Bridge Selection,nearest_neighbor,67.88601633018227,0.036462863286336265
7,7,tsp,permutation_tour,"Voronoi Regions with Efficient Local Path Construction, Improved Bridge Selection, and Region Optimization",nearest_neighbor_2opt,88ebe7e6524c2f67,True,True,3,3,57.34665816760921,57.34665816760921,3.3142619927724204,6.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_007_88ebe7e6524c2f67.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_007.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_007.txt,nearest-neighbor construction with bounded 2-opt-style improvement,"dsj1000: valid 1/1, gap_vs_opt=58.801%, cost=2.96318e+07, runtime=3.684s, NA
pr1002: valid 1/1, gap_vs_opt=46.374%, cost=379174, runtime=2.272s, NA
d1291: valid 1/1, gap_vs_opt=66.865%, cost=84769, runtime=3.987s, NA",10031926.666666666,57.34665816760921,3,3,0,True,voronoi_regions,Voronoi / region decomposition,7,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.","Voronoi Regions with Efficient Local Path Construction, Improved Bridge Selection, and Region Optimization",nearest_neighbor_2opt,57.34665816760921,3.3142619927724204
8,8,tsp,permutation_tour,Voronoi Regions with Improved Local Path Construction and Efficient Bridge Selection,nearest_neighbor_2opt,658bad1d152244a9,False,False,0,3,,,,7.0,1+1,mutate_parent,candidate timed out after 60.0s,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_008_658bad1d152244a9.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_008.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_008.txt,nearest-neighbor construction with bounded 2-opt-style improvement,"dsj1000: valid 0/1, errors=candidate timed out after 60.0s
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^
pr1002: valid 0/1, errors=candidate timed out after 60.0s
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^
d1291: valid 0/1, errors=candidate timed out after 60.0s
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^",,,0,3,3,True,voronoi_regions,Voronoi / region decomposition,8,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.",Voronoi Regions with Improved Local Path Construction and Efficient Bridge Selection,nearest_neighbor_2opt,,
9,9,tsp,permutation_tour,"Voronoi Regions with Efficient Local Path Construction, Improved Bridge Selection, and Enhanced Region Optimization",nearest_neighbor_2opt,a97a98f9f411c2af,True,True,3,3,53.93005097399035,53.93005097399035,2.1829217274983725,7.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_009_a97a98f9f411c2af.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_009.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_009.txt,nearest-neighbor construction with bounded 2-opt-style improvement,"dsj1000: valid 1/1, gap_vs_opt=50.539%, cost=2.809e+07, runtime=2.072s, NA
pr1002: valid 1/1, gap_vs_opt=52.607%, cost=395321, runtime=2.196s, NA
d1291: valid 1/1, gap_vs_opt=58.645%, cost=80593, runtime=2.281s, NA",9521980.0,53.93005097399035,3,3,0,True,voronoi_regions,Voronoi / region decomposition,9,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.","Voronoi Regions with Efficient Local Path Construction, Improved Bridge Selection, and Enhanced Region Optimization",nearest_neighbor_2opt,53.93005097399035,2.1829217274983725
10,10,tsp,permutation_tour,"Voronoi Regions with Efficient Local Path Construction, Improved Bridge Selection, and Enhanced Region Ordering",nearest_neighbor_2opt,1b7258c5a1082ab5,True,True,3,3,53.255371220147275,53.255371220147275,3.2980004151662192,9.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/codes/iter_010_1b7258c5a1082ab5.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/raw_responses/raw_iter_010.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_family_focus_3families_raw_train_20260525_095803/prompts/prompt_iter_010.txt,nearest-neighbor construction with bounded 2-opt-style improvement,"dsj1000: valid 1/1, gap_vs_opt=55.746%, cost=2.90617e+07, runtime=5.827s, NA
pr1002: valid 1/1, gap_vs_opt=51.336%, cost=392029, runtime=2.086s, NA
d1291: valid 1/1, gap_vs_opt=52.684%, cost=77565, runtime=1.981s, NA",9843761.666666666,53.255371220147275,3,3,0,True,voronoi_regions,Voronoi / region decomposition,10,0,3,False,partial,"Region/Voronoi structure appears, but the code also leans on nearest-neighbor, insertion, or 2-opt-style logic.","Voronoi Regions with Efficient Local Path Construction, Improved Bridge Selection, and Enhanced Region Ordering",nearest_neighbor_2opt,53.255371220147275,3.2980004151662192
