report_id,signal_category,heuristic_id,relative_code_file,include_in_final_eval,code_requires_candidate_list,code_requires_edge_prior,folder_provides_candidate_list,folder_provides_edge_prior,strict_eval_status,strict_eval_skip_reason,code_interface_notes
D1,distance_only,D1_12_D1_nn_constructive_only,distance_only/D1_12_D1_nn_constructive_only/D1_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D1a,distance_only,D1a_02_normal_raw_nn2opt_best_101102_iter003,distance_only/D1a_02_normal_raw_nn2opt_best_101102_iter003/D1a_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D2,distance_only,D2_11_family_focus_convex_constructive_095803_iter021,distance_only/D2_11_family_focus_convex_constructive_095803_iter021/D2_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D2a,distance_only,D2a_13_D2a_convex_hull_outside_in_with_cleanup,distance_only/D2a_13_D2a_convex_hull_outside_in_with_cleanup/D2a_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D3,distance_only,D3_03_family_focus_grid_best_100159_iter072,distance_only/D3_03_family_focus_grid_best_100159_iter072/D3_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D4,distance_only,D4_05_family_focus_voronoi_best_100159_iter037,distance_only/D4_05_family_focus_voronoi_best_100159_iter037/D4_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D5,distance_only,D5_04_family_focus_convex_faithful_095803_iter031,distance_only/D5_04_family_focus_convex_faithful_095803_iter031/D5_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D6,distance_only,D6_10_family_focus_fast_convex_095803_iter026,distance_only/D6_10_family_focus_fast_convex_095803_iter026/D6_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D7,distance_only,D7_08_expo_distance_only_geostabilizer_399e,distance_only/D7_08_expo_distance_only_geostabilizer_399e/D7_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D8,distance_only,D8_18_D8_randomized_start_nearest_endpoint,distance_only/D8_18_D8_randomized_start_nearest_endpoint/D8_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D9,distance_only,D9_09_family_focus_mst_diagnostic_100159_iter007,distance_only/D9_09_family_focus_mst_diagnostic_100159_iter007/D9_heuristic.py,True,False,False,False,False,ok,,class TSPHeuristic
D10,distance_only,D10_14_D10_cluster_decomposition_local_tours,distance_only/D10_14_D10_cluster_decomposition_local_tours/D10_heuristic.py,False,False,False,False,False,ok,,class TSPHeuristic
D11,distance_only,D11_15_D11_spectral_projection_partitioning,distance_only/D11_15_D11_spectral_projection_partitioning/D11_heuristic.py,False,False,False,False,False,ok,,class TSPHeuristic
D12,distance_only,D12_16_D12_sparse_geometric_graph_attempt_failed,distance_only/D12_16_D12_sparse_geometric_graph_attempt_failed/D12_heuristic.py,False,False,False,False,False,do_not_evaluate,failed or invalid attempt retained only for appendix/code inspection,class TSPHeuristic
D13,distance_only,D13_07_family_focus_region_endpoint_fast_100159_iter177,distance_only/D13_07_family_focus_region_endpoint_fast_100159_iter177/D13_heuristic.py,False,False,False,False,False,ok,,class TSPHeuristic
D14,distance_only,D14_17_D14_polar_angle_sweep_constructive,distance_only/D14_17_D14_polar_angle_sweep_constructive/D14_heuristic.py,False,False,False,False,False,ok,,class TSPHeuristic
C1,candidate_list,C1_00_candidate_nnls_105250_iter001,candidate_list/C1_00_candidate_nnls_105250_iter001/C1_heuristic.py,True,True,False,True,False,ok,,class TSPHeuristic
C1a,candidate_list,C1a_01_normal_candidate_only_best_105250_iter019,candidate_list/C1a_01_normal_candidate_only_best_105250_iter019/C1a_heuristic.py,True,True,False,True,False,ok,,class TSPHeuristic
P1,edge_prior,P1_01_hist_prior_only_best_201853_iter021,edge_prior/P1_01_hist_prior_only_best_201853_iter021/P1_heuristic.py,True,False,True,False,True,ok,,class TSPHeuristic
P2,edge_prior,P2_02_expo_prior_dominant_all7_2339,edge_prior/P2_02_expo_prior_dominant_all7_2339/P2_heuristic.py,True,False,True,False,True,ok,,class TSPHeuristic
P3,edge_prior,P3_03_expo_lookahead_prior_all7_27a,edge_prior/P3_03_expo_lookahead_prior_all7_27a/P3_heuristic.py,True,False,True,False,True,ok,,class TSPHeuristic
