attempt,iteration,objective_mode,center_constraint,name,family,code_hash,valid,full_valid,valid_instances,total_instances,mean_gap_percent,selection_score,mean_runtime_s,parent_attempt,selection_strategy,prompt_mode,error,code_path,raw_response_path,prompt_path,family_desc,feedback_by_instance,search_cost_mean,search_gap_ref_mean_pct,partial_valid_cases,partial_total_cases,partial_failed_cases,family_focus_active,focus_family_id,focus_family_name,focus_family_step,focus_family_index,focus_family_total,family_focus_compliant,family_focus_compliance_level,family_focus_mismatch_reason,algo_name,family_sig,search_gap_ref_mean,search_runtime_mean_s
1,1,tsp,permutation_tour,Nearest Neighbor Heuristic with Random Start,nearest_neighbor,e09d836802f4a1ac,True,True,3,3,27.310737993219192,27.310737993219192,1.3800759315490723,,1+1,initial,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_001_e09d836802f4a1ac.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_001.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_001.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=29.153%, cost=2.40995e+07, runtime=0.994s, NA
pr1002: valid 1/1, gap_vs_opt=27.471%, cost=330207, runtime=1.247s, NA
d1291: valid 1/1, gap_vs_opt=25.309%, cost=63658, runtime=1.899s, NA",8164455.333333333,27.310737993219192,3,3,0,False,,,,,,,not_applicable,,Nearest Neighbor Heuristic with Random Start,nearest_neighbor,27.310737993219192,1.3800759315490723
2,2,tsp,permutation_tour,Modified Nearest Neighbor Heuristic with Adaptive Starting City,nearest_neighbor,37ecda010e818395,False,False,0,3,,,,1.0,1+1,mutate_parent,name 'hasattr' is not defined,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_002_37ecda010e818395.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_002.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_002.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 0/1, errors=name 'hasattr' is not defined
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^
pr1002: valid 0/1, errors=name 'hasattr' is not defined
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^
d1291: valid 0/1, errors=name 'hasattr' is not defined
Traceback (most recent call last):
  File ""/content/llm-tsp-heuristics/src/llm_tsp/evaluation.py"", line 132, in evaluate_code_on_problem
    tour = fn(problem, rng=rng)
           ^^^^^^^^^^^^^^^^^^^^",,,0,3,3,False,,,,,,,not_applicable,,Modified Nearest Neighbor Heuristic with Adaptive Starting City,nearest_neighbor,,
3,3,tsp,permutation_tour,Nearest Neighbor Heuristic with Random Start and Adaptive Edge Weight,nearest_neighbor,ea64d9bcd7f54bb8,True,True,3,3,33.43423926164616,33.43423926164616,0.49459369977315265,1.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_003_ea64d9bcd7f54bb8.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_003.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_003.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=27.053%, cost=2.37076e+07, runtime=0.418s, NA
pr1002: valid 1/1, gap_vs_opt=32.111%, cost=342227, runtime=0.395s, NA
d1291: valid 1/1, gap_vs_opt=41.139%, cost=71700, runtime=0.670s, NA",8040524.0,33.43423926164616,3,3,0,False,,,,,,,not_applicable,,Nearest Neighbor Heuristic with Random Start and Adaptive Edge Weight,nearest_neighbor,33.43423926164616,0.49459369977315265
4,4,tsp,permutation_tour,Adaptive Nearest Neighbor Heuristic with Random Start and Distance-Based Probability,nearest_neighbor,b7af1c8293eb1f85,True,True,3,3,1705.8363995380205,1705.8363995380205,0.6627916495005289,1.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_004_b7af1c8293eb1f85.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_004.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_004.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=1528.654%, cost=3.03902e+08, runtime=0.454s, NA
pr1002: valid 1/1, gap_vs_opt=1526.454%, cost=4.21325e+06, runtime=0.570s, NA
d1291: valid 1/1, gap_vs_opt=2062.400%, cost=1.09852e+06, runtime=0.965s, NA",103071198.33333333,1705.8363995380205,3,3,0,False,,,,,,,not_applicable,,Adaptive Nearest Neighbor Heuristic with Random Start and Distance-Based Probability,nearest_neighbor,1705.8363995380205,0.6627916495005289
5,5,tsp,permutation_tour,Adaptive Nearest Neighbor Heuristic with Weighted Edge Costs and Random Start,nearest_neighbor,e3b68485ab89acca,True,True,3,3,1727.802539327108,1727.802539327108,0.6601666609446207,1.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_005_e3b68485ab89acca.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_005.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_005.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=1553.253%, cost=3.08492e+08, runtime=0.671s, NA
pr1002: valid 1/1, gap_vs_opt=1479.642%, cost=4.09198e+06, runtime=0.670s, NA
d1291: valid 1/1, gap_vs_opt=2150.513%, cost=1.14328e+06, runtime=0.640s, NA",104575686.66666667,1727.802539327108,3,3,0,False,,,,,,,not_applicable,,Adaptive Nearest Neighbor Heuristic with Weighted Edge Costs and Random Start,nearest_neighbor,1727.802539327108,0.6601666609446207
6,6,tsp,permutation_tour,Improved Nearest Neighbor Heuristic with Adaptive Starting City and Weighted Edge Costs,nearest_neighbor,36c1549fa97e2636,True,True,3,3,1039.5844293325536,1039.5844293325536,1.2042442957560222,1.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_006_36c1549fa97e2636.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_006.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_006.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=2884.996%, cost=5.56991e+08, runtime=0.980s, NA
pr1002: valid 1/1, gap_vs_opt=35.116%, cost=350010, runtime=1.000s, NA
d1291: valid 1/1, gap_vs_opt=198.642%, cost=151713, runtime=1.633s, NA",185830888.33333334,1039.5844293325536,3,3,0,False,,,,,,,not_applicable,,Improved Nearest Neighbor Heuristic with Adaptive Starting City and Weighted Edge Costs,nearest_neighbor,1039.5844293325536,1.2042442957560222
7,7,tsp,permutation_tour,Improved Nearest Neighbor Heuristic with Multiple Random Starts and Best Tour Selection,nearest_neighbor,e3fe52ca038791c5,True,True,3,3,21.30511298346823,21.30511298346823,3.49349053700765,1.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_007_e3fe52ca038791c5.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_007.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_007.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=23.820%, cost=2.31045e+07, runtime=2.348s, NA
pr1002: valid 1/1, gap_vs_opt=21.717%, cost=315303, runtime=4.115s, NA
d1291: valid 1/1, gap_vs_opt=18.378%, cost=60137, runtime=4.018s, NA",7826639.666666667,21.30511298346823,3,3,0,False,,,,,,,not_applicable,,Improved Nearest Neighbor Heuristic with Multiple Random Starts and Best Tour Selection,nearest_neighbor,21.30511298346823,3.49349053700765
8,8,tsp,permutation_tour,"Adaptive Nearest Neighbor Heuristic with Multiple Random Starts, Weighted Edge Costs, and Distance-Based Probability",nearest_neighbor,f975337d0f0f285a,True,True,3,3,1648.586371163832,1648.586371163832,6.541910012563069,7.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_008_f975337d0f0f285a.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_008.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_008.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=1455.823%, cost=2.90312e+08, runtime=6.003s, NA
pr1002: valid 1/1, gap_vs_opt=1442.652%, cost=3.99616e+06, runtime=7.040s, NA
d1291: valid 1/1, gap_vs_opt=2047.285%, cost=1.09084e+06, runtime=6.583s, NA",98466237.33333333,1648.586371163832,3,3,0,False,,,,,,,not_applicable,,"Adaptive Nearest Neighbor Heuristic with Multiple Random Starts, Weighted Edge Costs, and Distance-Based Probability",nearest_neighbor,1648.586371163832,6.541910012563069
9,9,tsp,permutation_tour,Improved Nearest Neighbor Heuristic with Adaptive Multiple Random Starts and Best Tour Selection,nearest_neighbor,0ea43fb02efaca06,True,True,3,3,20.47483012670558,20.47483012670558,34.19861181577047,7.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_009_0ea43fb02efaca06.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_009.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_009.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=23.752%, cost=2.30917e+07, runtime=24.619s, NA
pr1002: valid 1/1, gap_vs_opt=21.632%, cost=315081, runtime=25.617s, NA
d1291: valid 1/1, gap_vs_opt=16.041%, cost=58950, runtime=52.359s, NA",7821904.333333333,20.47483012670558,3,3,0,False,,,,,,,not_applicable,,Improved Nearest Neighbor Heuristic with Adaptive Multiple Random Starts and Best Tour Selection,nearest_neighbor,20.47483012670558,34.19861181577047
10,10,tsp,permutation_tour,Improved Adaptive Multiple Random Starts Heuristic with Enhanced Nearest Neighbor Selection,nearest_neighbor,16c9a4ed39f8a812,True,True,3,3,966.9643157872816,966.9643157872816,63.39523307482401,9.0,1+1,mutate_parent,,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/codes/iter_010_16c9a4ed39f8a812.py,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/raw_responses/raw_iter_010.txt,/content/drive/MyDrive/TM/llm-tsp-runs/tsp_extended_final_eval_cache_build_20260601_113437/prompts/prompt_iter_010.txt,nearest-neighbor constructive tour builder,"dsj1000: valid 1/1, gap_vs_opt=935.789%, cost=1.93275e+08, runtime=47.784s, NA
pr1002: valid 1/1, gap_vs_opt=815.589%, cost=2.37179e+06, runtime=45.352s, NA
d1291: valid 1/1, gap_vs_opt=1149.515%, cost=634766, runtime=97.050s, NA",65427182.666666664,966.9643157872816,3,3,0,False,,,,,,,not_applicable,,Improved Adaptive Multiple Random Starts Heuristic with Enhanced Nearest Neighbor Selection,nearest_neighbor,966.9643157872816,63.39523307482401
